orderNumber,productCode,quantityOrdered,priceEach,Thành tiền,orderLineNumber
10332.0,S18_2795,24.0,138.38,3321.12,1.0
10333.0,S24_4258,39.0,95.44,3722.16,1.0
10334.0,S18_2432,34.0,52.87,1797.58,1.0
10335.0,S32_1268,44.0,77.05,3390.2,1.0
10336.0,S12_3891,49.0,141.88,6952.12,1.0
10337.0,S700_3505,31.0,84.14,2608.34,1.0
10338.0,S18_1662,41.0,137.19,5624.79,1.0
10339.0,S18_2625,30.0,48.46,1453.8,1.0
10340.0,S24_4278,40.0,63.76,2550.4,1.0
10341.0,S12_3380,44.0,111.57,4909.08,1.0
10342.0,S18_1889,55.0,63.14,3472.7,1.0
10343.0,S24_4620,30.0,76.8,2304.0,1.0
10344.0,S18_1749,45.0,168.3,7573.500000000001,1.0
10345.0,S24_2022,43.0,38.98,1676.1399999999999,1.0
10346.0,S24_2766,25.0,87.24,2181.0,1.0
10347.0,S10_1949,30.0,188.58,5657.400000000001,1.0
10348.0,S24_2300,37.0,107.34,3971.58,1.0
10349.0,S32_2509,33.0,44.37,1464.2099999999998,1.0
10350.0,S18_3140,44.0,135.22,5949.68,1.0
10351.0,S18_1662,39.0,143.5,5596.5,1.0
10352.0,S700_4002,22.0,62.19,1368.1799999999998,1.0
10353.0,S18_2581,27.0,71.81,1938.8700000000001,1.0
10354.0,S24_2000,28.0,62.46,1748.88,1.0
10355.0,S18_3782,31.0,60.3,1869.3,1.0
10356.0,S18_2795,30.0,158.63,4758.9,1.0
10357.0,S18_1097,39.0,112.0,4368.0,1.0
10358.0,S32_1268,41.0,82.83,3396.0299999999997,1.0
10359.0,S32_3207,22.0,62.14,1367.08,1.0
10360.0,S18_4522,40.0,76.36,3054.4,1.0
10361.0,S24_4278,25.0,68.83,1720.75,1.0
10362.0,S12_2823,22.0,131.04,2882.8799999999997,1.0
10363.0,S24_3856,31.0,113.75,3526.25,1.0
10364.0,S32_2206,48.0,38.22,1834.56,1.0
10365.0,S18_1129,30.0,116.06,3481.8,1.0
10366.0,S18_3232,34.0,154.1,5239.4,1.0
10367.0,S18_1589,49.0,105.77,5182.73,1.0
10368.0,S24_3191,46.0,83.04,3819.84,1.0
10369.0,S18_2949,42.0,100.3,4212.599999999999,1.0
10370.0,S18_1097,27.0,100.34,2709.1800000000003,1.0
10371.0,S32_1268,26.0,82.83,2153.58,1.0
10372.0,S12_3891,34.0,140.15,4765.1,1.0
10373.0,S72_3212,29.0,48.05,1393.4499999999998,1.0
10374.0,S10_4698,22.0,158.8,3493.6000000000004,1.0
10375.0,S700_2466,33.0,94.73,3126.09,1.0
10376.0,S12_3380,35.0,98.65,3452.75,1.0
10377.0,S12_4675,50.0,112.86,5643.0,1.0
10378.0,S32_2206,40.0,35.8,1432.0,1.0
10379.0,S18_2248,27.0,50.85,1372.95,1.0
10380.0,S18_4409,32.0,78.23,2503.36,1.0
10381.0,S12_1666,20.0,132.57,2651.3999999999996,1.0
10382.0,S18_4600,39.0,115.03,4486.17,1.0
10383.0,S18_4027,38.0,137.88,5239.44,1.0
10384.0,S700_1938,49.0,71.02,3479.98,1.0
10385.0,S700_1138,25.0,62.0,1550.0,1.0
10386.0,S24_2841,39.0,56.86,2217.54,1.0
10387.0,S32_1374,44.0,79.91,3516.04,1.0
10388.0,S50_1341,27.0,41.02,1107.5400000000002,1.0
10389.0,S24_1578,45.0,112.7,5071.5,1.0
10390.0,S18_3482,50.0,135.23,6761.499999999999,1.0
10391.0,S24_2022,24.0,36.29,870.96,1.0
10392.0,S18_3320,36.0,98.22,3535.92,1.0
10393.0,S18_4668,44.0,41.76,1837.4399999999998,1.0
10394.0,S18_4027,37.0,124.95,4623.150000000001,1.0
10395.0,S12_1108,33.0,205.72,6788.76,1.0
10396.0,S700_1138,39.0,62.0,2418.0,1.0
10397.0,S72_3212,34.0,52.96,1800.64,1.0
10398.0,S72_1253,34.0,41.22,1401.48,1.0
10399.0,S32_1374,32.0,97.89,3132.48,1.0
10400.0,S18_1662,34.0,129.31,4396.54,1.0
10401.0,S32_1374,49.0,81.91,4013.5899999999997,1.0
10402.0,S10_2016,45.0,118.94,5352.3,1.0
10403.0,S18_3782,36.0,55.33,1991.8799999999999,1.0
10404.0,S12_3380,43.0,102.17,4393.31,1.0
10405.0,S18_3232,55.0,147.33,8103.150000000001,1.0
10406.0,S18_3685,65.0,117.26,7621.900000000001,1.0
10407.0,S18_2248,42.0,58.12,2441.04,1.0
10408.0,S24_3969,15.0,41.03,615.45,1.0
10409.0,S24_1937,61.0,27.88,1700.6799999999998,1.0
10410.0,S18_2949,47.0,93.21,4380.87,1.0
10411.0,S32_1268,26.0,78.01,2028.2600000000002,1.0
10412.0,S24_4048,31.0,108.82,3373.4199999999996,1.0
10413.0,S12_3891,22.0,173.02,3806.44,1.0
10414.0,S18_3029,44.0,77.42,3406.48,1.0
10415.0,S24_2841,21.0,60.97,1280.37,1.0
10416.0,S24_2000,32.0,62.46,1998.72,1.0
10417.0,S12_2823,21.0,144.6,3036.6,1.0
10418.0,S18_3482,27.0,139.64,3770.2799999999997,1.0
10419.0,S18_1589,37.0,100.8,3729.6,1.0
10420.0,S24_1937,45.0,32.19,1448.55,1.0
10421.0,S18_2795,35.0,167.06,5847.1,1.0
10422.0,S18_1367,25.0,47.44,1186.0,1.0
10423.0,S18_2949,10.0,89.15,891.5,1.0
10424.0,S700_2824,46.0,85.98,3955.0800000000004,1.0
10425.0,S24_1444,55.0,53.75,2956.25,1.0
10100.0,S18_2248,50.0,55.09,2754.5,2.0
10101.0,S24_2022,46.0,44.35,2040.1000000000001,2.0
10102.0,S18_1342,39.0,95.55,3726.45,2.0
10103.0,S18_2432,22.0,58.34,1283.48,2.0
10104.0,S50_1514,32.0,53.31,1705.92,2.0
10105.0,S10_4757,50.0,127.84,6392.0,2.0
10106.0,S18_2581,34.0,81.1,2757.3999999999996,2.0
10107.0,S10_1678,30.0,81.35,2440.5,2.0
10108.0,S18_1889,38.0,67.76,2574.88,2.0
10109.0,S18_3685,47.0,125.74,5909.78,2.0
10110.0,S24_2022,39.0,40.77,1590.0300000000002,2.0
10111.0,S18_2957,28.0,53.09,1486.52,2.0
10112.0,S18_2949,23.0,85.1,1957.3,2.0
10113.0,S12_1666,21.0,121.64,2554.44,2.0
10114.0,S32_2509,28.0,43.83,1227.24,2.0
10115.0,S24_1444,47.0,56.64,2662.08,2.0
10117.0,S72_3212,50.0,52.42,2621.0,2.0
10119.0,S24_3949,28.0,62.1,1738.8,2.0
10120.0,S10_4698,46.0,158.8,7304.8,2.0
10121.0,S24_2360,32.0,58.18,1861.76,2.0
10122.0,S18_1129,34.0,114.65,3898.1000000000004,2.0
10123.0,S18_1589,26.0,120.71,3138.46,2.0
10124.0,S24_1937,45.0,30.53,1373.8500000000001,2.0
10125.0,S18_2795,34.0,138.38,4704.92,2.0
10126.0,S18_2432,43.0,51.05,2195.15,2.0
10127.0,S12_1108,46.0,193.25,8889.5,2.0
10128.0,S18_3140,41.0,120.2,4928.2,2.0
10129.0,S10_4757,33.0,123.76,4084.0800000000004,2.0
10130.0,S18_3029,40.0,68.82,2752.7999999999997,2.0
10131.0,S700_4002,26.0,63.67,1655.42,2.0
10133.0,S700_2834,27.0,115.09,3107.4300000000003,2.0
10134.0,S10_1678,41.0,90.92,3727.7200000000003,2.0
10135.0,S24_3856,47.0,139.03,6534.41,2.0
10136.0,S18_1129,25.0,117.48,2937.0,2.0
10137.0,S18_1589,44.0,115.73,5092.12,2.0
10138.0,S24_1937,22.0,33.19,730.18,2.0
10139.0,S18_3136,20.0,101.58,2031.6,2.0
10140.0,S18_2432,46.0,51.05,2348.2999999999997,2.0
10141.0,S24_1444,20.0,50.86,1017.2,2.0
10142.0,S700_1138,41.0,55.34,2268.94,2.0
10143.0,S700_1691,36.0,86.77,3123.72,2.0
10145.0,S50_4713,38.0,73.22,2782.36,2.0
10146.0,S18_3782,47.0,60.3,2834.1,2.0
10147.0,S24_3856,23.0,123.58,2842.34,2.0
10148.0,S18_4933,29.0,66.28,1922.1200000000001,2.0
10149.0,S18_3320,42.0,89.29,3750.1800000000003,2.0
10150.0,S18_4600,49.0,111.39,5458.11,2.0
10151.0,S18_2238,43.0,152.27,6547.610000000001,2.0
10152.0,S32_3207,33.0,57.17,1886.6100000000001,2.0
10153.0,S700_3505,50.0,87.15,4357.5,2.0
10154.0,S24_3151,31.0,75.23,2332.13,2.0
10155.0,S700_2466,20.0,87.75,1755.0,2.0
10156.0,S700_1691,48.0,77.64,3726.7200000000003,2.0
10157.0,S700_2834,48.0,109.16,5239.68,2.0
10159.0,S12_1099,41.0,188.73,7737.929999999999,2.0
10160.0,S24_2972,42.0,30.59,1284.78,2.0
10161.0,S24_2887,25.0,108.04,2701.0,2.0
10162.0,S18_1342,48.0,87.33,4191.84,2.0
10163.0,S18_2949,31.0,101.31,3140.61,2.0
10164.0,S10_4962,21.0,143.31,3009.51,2.0
10165.0,S12_3891,27.0,152.26,4111.0199999999995,2.0
10166.0,S18_3140,43.0,136.59,5873.37,2.0
10167.0,S24_2841,21.0,54.81,1151.01,2.0
10168.0,S24_1578,50.0,103.68,5184.0,2.0
10169.0,S12_1099,30.0,163.44,4903.2,2.0
10170.0,S18_1889,20.0,70.07,1401.3999999999999,2.0
10171.0,S18_1129,35.0,134.46,4706.1,2.0
10172.0,S24_3191,24.0,77.91,1869.84,2.0
10173.0,S18_2957,28.0,56.84,1591.52,2.0
10174.0,S18_4668,49.0,44.27,2169.23,2.0
10175.0,S24_2840,37.0,32.18,1190.66,2.0
10176.0,S12_1108,33.0,166.24,5485.92,2.0
10177.0,S24_3151,45.0,79.66,3584.7,2.0
10178.0,S700_4002,45.0,68.11,3064.95,2.0
10179.0,S700_2834,25.0,98.48,2462.0,2.0
10180.0,S18_4721,44.0,147.31,6481.64,2.0
10181.0,S18_1589,42.0,124.44,5226.48,2.0
10182.0,S18_1367,32.0,44.21,1414.72,2.0
10183.0,S18_4600,21.0,118.66,2491.86,2.0
10184.0,S24_4048,49.0,114.73,5621.77,2.0
10185.0,S24_3151,33.0,83.2,2745.6,2.0
10186.0,S24_2841,22.0,60.29,1326.3799999999999,2.0
10187.0,S24_4278,33.0,64.48,2127.84,2.0
10188.0,S24_1578,25.0,95.8,2395.0,2.0
10190.0,S50_4713,40.0,67.53,2701.2,2.0
10191.0,S24_3371,48.0,53.27,2556.96,2.0
10192.0,S24_2766,46.0,86.33,3971.18,2.0
10193.0,S18_3136,23.0,97.39,2239.97,2.0
10194.0,S18_2432,45.0,51.05,2297.25,2.0
10195.0,S24_4048,34.0,95.81,3257.54,2.0
10196.0,S700_1938,50.0,84.88,4244.0,2.0
10197.0,S700_2047,24.0,78.75,1890.0,2.0
10198.0,S700_4002,40.0,74.03,2961.2,2.0
10199.0,S700_1691,48.0,81.29,3901.92,2.0
10200.0,S700_2834,39.0,115.09,4488.51,2.0
10201.0,S10_1678,22.0,82.3,1810.6,2.0
10202.0,S18_4721,43.0,124.99,5374.57,2.0
10203.0,S24_2972,21.0,33.23,697.8299999999999,2.0
10204.0,S24_3969,39.0,34.88,1360.3200000000002,2.0
10205.0,S18_1342,36.0,98.63,3550.68,2.0
10206.0,S32_3522,36.0,54.94,1977.84,2.0
10207.0,S32_3207,45.0,55.3,2488.5,2.0
10208.0,S24_3151,20.0,80.54,1610.8000000000002,2.0
10209.0,S24_3420,36.0,56.55,2035.8,2.0
10210.0,S10_2016,23.0,112.99,2598.77,2.0
10211.0,S12_1099,41.0,171.22,7020.0199999999995,2.0
10212.0,S24_3191,27.0,77.91,2103.5699999999997,2.0
10213.0,S18_4933,25.0,58.44,1461.0,2.0
10214.0,S24_2022,49.0,39.87,1953.6299999999999,2.0
10215.0,S18_1097,46.0,100.34,4615.64,2.0
10217.0,S18_2432,35.0,58.34,2041.9,2.0
10218.0,S18_3232,34.0,152.41,5181.94,2.0
10219.0,S12_4473,48.0,94.8,4550.4,2.0
10220.0,S12_1108,32.0,189.1,6051.2,2.0
10221.0,S18_4522,39.0,84.26,3286.1400000000003,2.0
10222.0,S700_4002,43.0,66.63,2865.0899999999997,2.0
10223.0,S24_1578,32.0,104.81,3353.92,2.0
10224.0,S32_2206,43.0,37.01,1591.4299999999998,2.0
10225.0,S18_3232,43.0,162.57,6990.509999999999,2.0
10226.0,S24_3432,48.0,95.3,4574.4,2.0
10227.0,S18_1367,31.0,50.14,1554.34,2.0
10228.0,S18_2949,24.0,101.31,2431.44,3.0
10229.0,S24_2840,33.0,34.65,1143.45,2.0
10230.0,S50_1514,43.0,57.41,2468.6299999999997,2.0
10231.0,S12_1108,42.0,193.25,8116.5,2.0
10232.0,S700_3962,35.0,81.43,2850.05,2.0
10233.0,S24_3151,40.0,70.81,2832.4,2.0
10234.0,S24_2841,44.0,67.14,2954.16,2.0
10235.0,S700_2834,25.0,116.28,2907.0,2.0
10236.0,S18_2625,23.0,52.7,1212.1000000000001,2.0
10237.0,S32_2206,26.0,35.0,910.0,2.0
10238.0,S24_3371,47.0,53.88,2532.36,2.0
10239.0,S24_2972,20.0,32.47,649.4,2.0
10240.0,S18_1984,37.0,136.56,5052.72,2.0
10241.0,S18_1749,41.0,153.0,6273.0,2.0
10243.0,S18_2325,47.0,111.87,5257.89,2.0
10244.0,S18_3136,29.0,85.87,2490.23,2.0
10245.0,S10_4962,28.0,147.74,4136.72,2.0
10246.0,S24_1444,44.0,46.24,2034.5600000000002,2.0
10247.0,S12_1108,44.0,195.33,8594.52,2.0
10248.0,S24_3816,23.0,83.02,1909.4599999999998,2.0
10228.0,S18_3136,31.0,100.53,3116.43,4.0
10250.0,S32_1374,31.0,99.89,3096.59,2.0
10251.0,S10_1678,59.0,93.79,5533.610000000001,2.0
10252.0,S18_3278,20.0,74.78,1495.6,2.0
10253.0,S18_2870,37.0,114.84,4249.08,2.0
10254.0,S18_2325,41.0,102.98,4222.18,2.0
10255.0,S24_2022,37.0,37.63,1392.3100000000002,2.0
10256.0,S18_1342,34.0,93.49,3178.66,2.0
10257.0,S18_3136,37.0,83.78,3099.86,2.0
10258.0,S32_3522,20.0,62.7,1254.0,2.0
10259.0,S50_1392,29.0,105.33,3054.57,2.0
10260.0,S700_1938,33.0,80.55,2658.15,2.0
10261.0,S700_2610,44.0,58.55,2576.2,2.0
